ra,dec,Lens Name,zs,zl,RA (J2000),Dec (J2000),E(B-V),ms (mag),ml (mag),FGHz (mJy),Nim,"size ("")",dt (days),sigma (km/s),img_path,Name,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names,isReal,Target
138.02212,0.48366000000000003,SDSS1155+6346,2.89,0.176,178.82229166666664,63.772777777777776,0.013999999999999999,I=17.67/2,I=17.82,,2,1.95,,,"['SDSS1155I.gif', 'SDSS1155Icc.gif', 'SDSS1155H.gif', 'SDSS1155Vcc.gif', 'SDSS1155V.gif', 'SDSS1155Hcc.gif']",,,,,,,,,,,,,,,1,1
137.796988,17.775539000000002,SDSS1011+0143,2.701,0.331,152.872875,1.723138888888889,0.009000000000000001,UNKNOWN=22.43/4,UNKNOWN=19.86,,4,3.67,,,,,,,,,,,,,,,,,,1,1
178.82624999999996,19.66172222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
139.85927,27.347509999999996,SDSS1353+1138,1.629,0.3,208.2764583333333,11.634638888888889,0.026000000000000002,,,,2,1.41,,267±17,,,,,,,,,,,,,,,,1,1
147.84404166666667,26.587249999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
157.30562499999996,26.392166666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
216.15870833333332,22.9335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
237.30154166666662,30.787944444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
248.45412499999998,31.569972222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
304.82562499999995,11.452305555555554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
317.7250833333333,21.516861111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
152.872875,1.723138888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
350.53,19.739722222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
311.83479166666666,26.733666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
35.27284583333333,35.93716111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
109.01491666666665,47.14722222222222,,,,,,,,,,,,,,,SL2S J022511-045433,SL2S,2010-08-18,GAL-GAL,A,z_lens_spec communicated by Karun Tanjavur HIA/CFHT,0.0,1.77,SIE model,241.0,12.0,36.296005,-4.9092998,"SL2S J022511-045434, SA48, SL2S J022511.04-045433.5",1,1
114.36855,32.27183,Q0957+561,1.41,0.36,150.33658333333332,55.89705555555555,0.009000000000000001,I=15.99/2,I=17.12,F5=65.6,2E,6.26,417.0±3.0,288±9,"['Q0957Hcc.gif', 'Q0957H.gif', 'Q0957.gif', 'Q0957I.gif', 'Q0957Vcc.gif', 'Q0957V.gif', 'Q0957Icc.gif']",,,,,,,,,,,,,,,1,1
114.40166699999999,32.261194,Q1355-2257,1.37,(0.48),208.93074999999996,-22.95636111111111,0.07200000000000001,I=16.94/2,I=19.04,F5=0.336,2,1.23,,215±30,"['Q1355V.gif', 'Q1355Icc.gif', 'Q1355I.gif', 'Q1355Vcc.gif', 'Q1355Hcc.gif', 'Q1355H.gif']",,,,,,,,,,,,,,,1,1
115.71333333333332,36.57880555555556,,,,,,,,,,,,,,,SDSS J0246-0825,SQLS,2005-11-01,GAL-QSO,A,"Doubly  imaged system with an ""anomalous"" flux ratio. A second mass along the line of sight is needed to reproduce the flux ratio. Narrow BAL feature reported in Trump+2006.",2.0,1.04,SIE model,172.0,11.0,41.64207561,-8.42670704,SDSS J024634.09-082536.1,1,1
116.72095833333331,44.064249999999994,,,,,,,,,,,,,,,MG0414+0534,Serendipitous,1989-01-01,GAL-QSO,A,"We  observed the quadruple gravitationally lensed image of MG J0414+0534 on  23 November 1997 with a global VLBI array at 8.4 GHz. We report wide-field imaging results of its four components at submilliarcsecond resolution, displaying complex core-like and jet-like extended structures. A simple model combining a singular isothermal ellipsoid to represent the main lens galaxy, external shear, and a singular isothermal sphere to represent an additional, nearby object accounts well for the core positions and flux densities of the VLBI images. This model predicts delays between the different lensed images of several weeks.",4.0,2.04,SIE model,,,63.65416999999999,5.57897,,1,1
98.80129166666666,51.950500000000005,,,,,,,,,,,,,,,SL2S J021902-082934,SL2S,2010-08-18,GAL-GAL,A,,2.0,1.3,SIE model,300.0,23.0,34.7589417,-8.4929924,"SA39, DES J0221-0646",1,1
125.05358000000001,48.79363,RXJ0911+0551,2.80,0.77,137.86458333333334,5.847777777777777,0.045,I=17.39/4,I=20.47,,4,2.47,146.0±4.0,,"['RXJ0911I.gif', 'RXJ0911V.gif', 'RXJ0911H.gif', 'RXJ0911Hcc.gif', 'RXJ0911Vcc.gif', 'RXJ0911Icc.gif']",,,,,,,,,,,,,,,1,1
203.89495833333334,1.3015277777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
127.92329166666667,52.75472222222222,,,,,,,,,,,,,,,SL2S J090408-005953,SL2S,2011-09-08,GAL-GAL,A,"This system contains a bright blue arc and a counter-image visible in HST image, also found in the SL2S-RINGS sample.",2.0,1.4,SIE model,1150.0,350.0,136.03320300000001,-0.9980139000000001,"SA76, SL2SJ090407-005952",1,1
131.794375,34.807333,SBS1520+530,1.86,0.72,230.43679166666664,52.9135,0.016,I=17.61/2,I=20.16,,2,1.59,129.0±3.0,,"['SBS1520Hcc.gif', 'SBS1520Icc.gif', 'SBS1520V.gif', 'SBS1520I.gif', 'SBS1520H.gif', 'SBS1520Vcc.gif']",,,,,,,,,,,,,,,1,1
128.963558,39.439353000000004,RXJ1131-1231,0.658,0.295,172.96499999999997,-12.5325,0.035,I=16.74/5,I=17.88,,4,3.8,87±8,,"['RXJ1131I.gif', 'RXJ1131Hcc.gif', 'RXJ1131H.gif', 'RXJ1131Icc.gif', 'RXJ1131V.gif', 'RXJ1131Vcc.gif']",,,,,,,,,,,,,,,1,1
140.303375,45.48455555555556,,,,,,,,,,,,,,,Q0957+561,Serendipitous,1979-01-01,GRP-QSO,A,Q0957 was the first strong lens discovered.,2.0,,SIE model,,,150.33700000000002,55.897059999999996,SDSS J100434.92+411242.8,1,1
151.143142867,41.2121094213,,,,,,,,,,,,,,,SL2S J020929-064311,SL2S,2011-09-08,GRP-GAL,A,,0.0,1.27,SIE model,267.0,17.0,32.372207,-6.7197942,SA14,1,1
156.14416666666665,47.153055555555554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
172.50054166666663,38.20086111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
181.62354166666665,43.53822222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
